"Id","Title"
"1611","[Inzicht] Actionlist widget: Remove SSP Bailiff invoice - Delay"
"1625","[Inzicht] login"
"1626","[Inzicht] logout"
"1627","[Inzicht] Reset password"
"1628","[Inzicht] Upload claimfiles"
"1629","[Inzicht] Download excel and csv"
"1630","[Inzicht] Address change"
"1631","[Inzicht] Stop claim"
"1632","[Inzicht] Using checkboxes for own reference"
"1633","[Inzicht] Generate other message from TIM to inzicht2"
"1634","[Inzicht] Drupal login"
"1635","[Inzicht] Create General message"
"1636","[Inzicht] Drupal logout"
"1637","[TIM] Create new Business Account"
"1638","[TIM] Create new Contract"
"1639","[TIM] Import claimfile MZ"
"1640","[TIM]  Check Ontvangstbevestiging"
"1641"," [TIM] Change details debtor"
"1642","[TIM] Match actions"
"1643","[TIM] Create Settlement payment"
"1644","[TIM] Change Contract"
"1645","[TIM]  Debtor profile"
"1646","[TIM] Direct debit"
"1647","[TIM] Create IA"
"1648","[TIM] Go to Inzicht"
"1649","[TIM] Process Yards BR files"
"1650","[TIM] Process Yards EAF files"
"1651","[TIM] Process Yards TTA files"
"1652","[TIM] Process DPay file"
"1653","[TIM] Controle gegevens omgeving. SQL Legal Interest"
"1654","[TIM] Add call"
"1656","[TIM] Search Business Account On List"
"1839","[Inzicht] Navigation bar: Using the home button"
"1851","[Inzicht] Navigation bar: Factoring menu"
"1853","[Inzicht] Navigation bar: Multi user selector"
"1854","[Inzicht] Navigation bar: Notification menu"
"1855","[Inzicht] Navigation bar: Profile menu"
"1857","[Inzicht] Navigation bar: Message button"
"1893","[Inzicht] Upload claimfile: Upload a zip-file containing only claimfiles"
"1895","[Inzicht] Upload claimfile: Upload of Non-claimfile "
"1897","[Inzicht] Upload claimfile: Rejected due to total number of patients"
"1898","[Inzicht] Upload claimfile: Rejected due to total number of debtors"
"1899","[Inzicht] Upload claimfile: Rejected due to total number of treatments"
"1900","[Inzicht] Upload claimfile: Rejected due to total number of comments"
"1901","[Inzicht] Upload claimfile: Rejected due to total number of records"
"1902","[Inzicht] Upload claimfile: Rejected due to total cash amount"
"1903","[Inzicht] Upload claimfile: Rejected due to duplicate claimfile (not unique)"
"1906","[TIM] Ledger: Pay out provider without deliveries being made (advanced payment)"
"1907","[TIM] Ledger: Settled but unpaid ROBP is matched on new claimfile"
"1912","[TIM] Stop claim: Fully stop a claim in status ""printed"" "
"1927","[Inzicht] nota meldingen: Generate a ""nota melding"""
"2012","[Inzicht] Exact online connected check"
"2052","[TIM] Create BA and reject first delivery claim file"
"2053","[TIM] Claim file without first delivery should not have option to be accepted/rejected"
"2054","[TIM] Match and unmatch claim "
"2071","[Inzicht] Create message in InZicht and check presence in TIM"
"2072","[inzicht] Create message in InZicht, mark as completed in TIM and check status in InZicht"
"2073","[inzicht] Create message in InZicht, answer in TIM and resolve in InZicht"
"2074","[TIM] Change Business Acount"
"2075","[TIM] Search Business Account Open"
"2076","[TIM] Controle gegevens omgeving. SQL Profession Basic Codes"
"2078","[TIM] Process Claim Add Complaint And Redelivery"
"2079","[TIM] Process Claim Add Complaint And Resume"
"2080","[TIM] Create Invalid Business Acount"
"2083","[IAM] Create User With Tim Access And Delete"
"2084","[TIM] Direct debit Reject"
"2091","[Inzicht] Search patient widget: Upload of NOT accepted jpg"
"2092","[Inzicht] Search patient widget: Upload of NOT accepted bas"
"2093","[Inzicht] Search patient widget: Upload of NOT accepted bat"
"2094","[Inzicht] Search patient widget: Upload of NOT accepted bin"
"2095","[Inzicht] Search patient widget: Upload of NOT accepted cmd"
"2096","[Inzicht] Search patient widget: Upload of NOT accepted com"
"2097","[Inzicht] Search patient widget: Upload of NOT accepted cpl"
"2098","[Inzicht] Search patient widget: Upload of NOT accepted dll"
"2099","[Inzicht] Search patient widget: Upload of NOT accepted doc"
"2100","[Inzicht] Search patient widget: Upload of NOT accepted exe"
"2101","[Inzicht] Search patient widget: Upload of NOT accepted jar"
"2102","[Inzicht] Search patient widget: Upload of NOT accepted js"
"2103","[Inzicht] Search patient widget: Upload of NOT accepted jse"
"2104","[Inzicht] Search patient widget: Upload of NOT accepted msi"
"2105","[Inzicht] Search patient widget: Upload of NOT accepted msp"
"2106","[Inzicht] Search patient widget: Upload of NOT accepted pdf"
"2107","[Inzicht] Search patient widget: Upload of NOT accepted pif"
"2108","[Inzicht] Search patient widget: Upload of NOT accepted ppt"
"2109","[Inzicht] Search patient widget: Upload of NOT accepted ps1"
"2110","[Inzicht] Search patient widget: Upload of NOT accepted reg"
"2111","[Inzicht] Search patient widget: Upload of NOT accepted scr"
"2112","[Inzicht] Search patient widget: Upload of NOT accepted sct"
"2113","[Inzicht] Search patient widget: Upload of NOT accepted sys"
"2114","[Inzicht] Search patient widget: Upload of NOT accepted url"
"2115","[Inzicht] Search patient widget: Upload of NOT accepted vb"
"2116","[Inzicht] Search patient widget: Upload of NOT accepted vbe"
"2117","[Inzicht] Search patient widget: Upload of NOT accepted vbs"
"2118","[Inzicht] Search patient widget: Upload of NOT accepted vbscript"
"2119","[Inzicht] Search patient widget: Upload of NOT accepted vxd"
"2120","[Inzicht] Search patient widget: Upload of NOT accepted wsc"
"2121","[Inzicht] Search patient widget: Upload of NOT accepted wsf"
"2122","[Inzicht] Search patient widget: Upload of NOT accepted wsh"
"2125","[Inzicht] InsertNewTermsAndConditionFileAndCheckIfModalAppearsInInzicht"
"2126","[Inzicht] InsertNewTermsAndConditionFileThenAgreeAndCheckIfModalIsHiddenInInzicht"
"2127","[Inzicht] InsertNewProcessAgreementFileAndCheckIfModalAppearsInInzicht"
"2128","[Inzicht] InsertNewProcessAgreementFileThenAgreeAndCheckIfModalIsHiddenInInzicht"
"2133","[Inzicht] Overzicht acties: Layout"
"2134","obsolete"
"2135","[Inzicht] Overzicht acties: Remove an openstaande actie"
"2136","obsolete"
"2137","[Inzicht] Overzicht acties: Remove a niet verwerkte, Incorrect nota's"
"2138","obsolete"
"2139","[Inzicht] Overzicht acties: Remove a nieuwe geblokkeerde patient"
"2140","obsolete"
"2141","[Inzicht] Overzicht acties: Remove a nieuwe gedeblokkeerde patient"
"2143","obsolete"
"2144","[Inzicht] Overzicht acties: Remove a niet verwerkte retrocessie"
"2145","obsolete"
"2146","[Inzicht] Overzicht acties: Remove an openstaande nota melding"
"2147","obsolete"
"2148","[Inzicht] Overzicht acties: Remove an openstaande overige bericht"
"2301","[Inzicht] Create BA message and try answering on each side"
"2310","InsertNewProcessAgreementFileAndCheckIfModalAppearsInInzicht"
"2320","[Inzicht] InsertNewTermsAndConditionExpireAndCheckIfCannotBeDismissed"
"2321","[Inzicht] InsertProcessAgreementExpireAndCheckIfCannotBeDismissed"
"2322","[Inzicht] InsertProcessAgreementAndCheckIFStillApearsAfterClosing"
"2323","[Inzicht] InsertTermsAndConditionsAndCheckIFStillApearsAfterClosing"
"2324","[Inzicht] InsertProcessAgreementViaTimAndCheckIfDisappearsAfterAgreeing"
"2325","[Inzicht] InsertTermsAndConditionsViaTimAndCheckIfDisappearsAfterAgreeing"
"2326","[Inzicht] InsertTermsAndConditionsAcceptAndCheckIfDisappears"
"2327","[Inzicht] InsertProcessAgreementAcceptAndCheckIfDisappears"
"2328","[Inzicht] InsertContractRemainderAndCheckIfAppearsInInzicht"
"2329","[Inzicht] InsertApprovalAndCheckIfAppearsInInzicht"
"2330","[TIM] DoubleValidationChangeInBaApproved"
"2331","[TIM] DoubleValidationChangeInBaRejected"
"2332","[TIM] DoubleValidationChangeInClaimRejected"
"2333","[TIM] DoubleValidationChangeInClaimApproved"
"2334","[TIM] DoubleValidationChangeInInsurerApproved"
"2335","[TIM] DoubleValidationChangeInInsurerRejected"
"2336","[TIM] DoubleValidationNewContractRejected"
"2337","[TIM] DoubleValidationNewContractApproved"
"2338","[TIM] CreateBaWithFirstDeliveryUnchecked"
"2339","[TIM] RnNTryToUploadTooLargeFileViaTim"
"2340","[TIM] RnNTryToUploadWrongExtensionFileViaTim_bas"
"2341","[TIM] RnNUploadDocumentViaTimAndCheckIfAppearsInTim"
"2342","[TIM] RnNUploadDocumentViaTimAndCheckIfStatus"
"2343","[TIM] RnNTryToUploadWrongExtensionFileViaTim_bat"
"2344","[TIM] RnNTryToUploadWrongExtensionFileViaTim_bin"
"2345","[TIM] RnNTryToUploadWrongExtensionFileViaTim_cmd"
"2346","[TIM] RnNTryToUploadWrongExtensionFileViaTim_com"
"2347","[TIM] RnNTryToUploadWrongExtensionFileViaTim_cpl"
"2348","[TIM] RnNTryToUploadWrongExtensionFileViaTim_dll"
"2349","[TIM] RnNTryToUploadWrongExtensionFileViaTim_exe"
"2350","[TIM] RnNTryToUploadWrongExtensionFileViaTim_jar"
"2351","[TIM] RnNTryToUploadWrongExtensionFileViaTim_js"
"2352","[TIM] RnNTryToUploadWrongExtensionFileViaTim_jse"
